"id","이름_한글","이름_영문","도수구간","최소도수","최대도수","스타일","베이스","맛단계","잔","계절","재료_원문","재료_목록","맛","분위기","제조단계수","제조순서","제조단계_출처","추천수","어려워요수","북마크수","유래","이미지_URL","잔이미지_URL","등록일","수정일","v2_bases","v2_abv","v2_abvBand","taste_sweet","taste_sour","taste_bitter","taste_boozy","taste_body","taste_fizz","flavor_citrus","flavor_tropical","flavor_berry_red","flavor_stone_orchard","flavor_herbal","flavor_mint","flavor_floral","flavor_spice","flavor_coffee_choco","flavor_creamy_nutty","flavor_oak_caramel","flavor_smoky","flavor_anise","flavor_savory","occasion_aperitif","occasion_with_meal","occasion_dessert","occasion_party","occasion_refresh","occasion_slow_sip","occasion_brunch","approachability","familiarity","complexity","polarizing","serve","allergens","recipeStatus","source","유래_출처"
"1","아메리카노","Americano","약함","8","10","스페셜","리큐르","","하이볼","여름","캄파리 30ml (1 oz), 스위트 베르무트 30ml (1 oz), 탄산수 60ml (2 oz), 오렌지 슬라이스","","쌉싸름, 허브향, 상큼, 탄산, 시트러스","식전, 오후의 휴식, 가벼운, 클래식","3","1. 얼음을 채운 글라스에 캄파리 30ml와 스위트 베르무트 30ml를 붓는다. / 2. 탄산수로 채운다. / 3. 오렌지 슬라이스로 가니시한다.","MANUAL","0","0","0","1860년대 이탈리아 밀라노에서 가스파레 캄파리(Gaspare Campari)가 자신의 바에서 처음 선보인 칵테일.
미국인 관광객들이 즐겨 마신다고 하여 '아메리카노'라는 이름이 붙었다는 설이 가장 유력함.
제임스 본드 소설 '카지노 로얄'에서 본드가 주문한 첫 번째 칵테일로 언급되어 더욱 유명해짐.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Americano.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.46068","2026-01-12 17:55:00.46068","liqueur|fortified","9","1","2","1","4","1","1","4","3","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","3","3","2","0","long","","verified","existing",""
"2","벨리니","Bellini","약함","8","10","라이트","와인","","플루트","여름","프로세코 100ml (3⅓ oz), 백도 복숭아 퓌레 50ml (1⅔ oz), 복숭아 조각","","복숭아, 상큼, 부드러운, 과일향, 스파클링","브런치, 축하, 우아한, 가벼운","3","1. 플루트 잔에 얼음을 채운다. / 2. 백도 복숭아 퓌레 50ml (1⅔ oz), 복숭아 조각을 붓는다. / 3. 프로세코 100ml (3⅓ oz)를 잔 벽을 따라 천천히 채운다.","AUTO","0","0","1","1948년 이탈리아 베니스의 해리스 바(Harry's Bar) 오너인 주세페 치프리아니(Giuseppe Cipriani)가 처음 만듦.
칵테일의 분홍빛이 15세기 르네상스 화가 조반니 벨리니(Giovanni Bellini)의 그림 속 성자의 토가 색과 비슷하여 그의 이름을 따 명명.
원래는 흰 복숭아 퓨레와 프로세코로만 만드는 것이 정통 방식으로, 헤밍웨이 등 유명인사들이 즐겨 마심.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Bellini.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_flute.webp","2026-01-12 17:55:00.46421","2026-01-12 17:55:00.46421","sparkling","8","1","3","1","0","0","2","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","3","5","3","1","0","up","","verified","existing",""
"3","블랙 러시안","Black Russian","강함","28","30","스트롱","보드카","","록스","겨울","보드카 50ml (1⅔ oz), 커피 리큐르 20ml (⅔ oz)","","달콤, 커피, 쌉싸름, 묵직한","야간 바, 느긋한 시간","3","1. 락 글라스에 얼음을 채운다. / 2. 보드카 50ml와 커피 리큐어 20ml를 붓는다. / 3. 바 스푼으로 가볍게 젓는다.","MANUAL","0","0","1","1949년 벨기에 브뤼셀의 호텔 메트로폴 바에서 구스타브 탑(Gustave Tops)이 만든 칵테일.
당시 주미 룩셈부르크 대사였던 펄 메스타(Perle Mesta)를 위해 창작됨.
'블랙'은 커피 리큐르의 검은색을, '러시안'은 주재료인 보드카의 원산지 러시아를 의미함.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Black_Russian.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.4658","2026-01-12 17:55:00.4658","vodka|liqueur","29","3","4","0","2","4","3","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","3","0","0","2","0","3","3","2","0","rocks","caffeine","verified","existing",""
"4","샴페인 칵테일","Champagne Cocktail","약함","10","12","라이트","와인","","플루트","사계절","샴페인 90ml (3 oz), 코냑 10ml (⅓ oz), 각설탕 1개, 앙고스투라 비터 2 dashes, 오렌지 필 제스트, 마라스키노 체리","","스파클링, 상큼, 쌉싸름, 은은한 단맛","축하, 파티, 우아한, 기념일","5","1. 플루트 잔에 각설탕 1개를 넣고 가볍게 으깬다. / 2. 코냑 10ml (⅓ oz), 앙고스투라 비터 2 dashes를 넣는다. / 3. 플루트 잔에 얼음을 채운다. / 4. 샴페인 90ml (3 oz)로 채우고 한 번만 가볍게 젓는다. / 5. 오렌지 필 제스트, 마라스키노 체리로 장식한다.","AUTO","0","0","1","1850년대 미국에서 처음 기록되었으며, 1862년 제리 토마스(Jerry Thomas)의 『Bar-tender’s Guide』에 공식적으로 등장.
전통적으로 샴페인 + 각설탕 + 앙고스투라 비터스 + 브랜디 조합으로 만들어짐.
심플하면서도 우아한 스타일 덕분에 19세기 후반~20세기 초 고급 사교 모임과 유럽 귀족 문화에서 큰 인기를 얻음.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Champagne_Cocktail.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_flute.webp","2026-01-12 17:55:00.46722","2026-01-12 17:55:00.46722","sparkling|brandy","11","1","3","1","0","2","2","4","2","0","0","0","0","0","0","1","0","0","1","0","0","0","2","0","0","3","0","0","0","4","3","2","0","up","","verified","existing",""
"5","쿠바 리브레","Cuba Libre","약함","9","12","라이트","럼","","하이볼","여름","화이트 럼 50ml (1⅔ oz), 라임 주스 10ml (⅓ oz), 콜라 120ml (4 oz), 라임 웨지","","콜라, 시트러스, 상큼, 톡쏘는","캐주얼, 홈파티","4","1. 하이볼 잔에 얼음을 잔 끝까지 넣는다. / 2. 화이트 럼 50ml (1⅔ oz), 라임 주스 10ml (⅓ oz)를 붓는다. / 3. 콜라 120ml (4 oz)를 잔 벽을 따라 천천히 채운다. / 4. 라임 웨지로 장식한다.","AUTO","0","0","0","1900년경 쿠바 독립 전쟁 직후 아바나에서 탄생했다고 알려짐.
미군 대위가 럼에 콜라와 라임을 섞어 마시며 ""Por Cuba Libre!"" (자유 쿠바 만세!)를 외친 것에서 유래.
럼 앤 콕(Rum and Coke)과 사실상 같지만, 라임즙을 짜 넣는 것이 '쿠바 리브레'의 핵심적인 차이.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Cuba_Libre.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.468631","2026-01-12 17:55:00.468631","rum","10","1","4","1","0","1","1","4","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","2","0","0","5","5","0","0","long","caffeine","verified","existing",""
"6","다이키리","Daiquiri","강함","22","25","클래식","럼","","쿠페","여름","화이트 럼 50ml (1⅔ oz), 라임 주스 25ml (⅚ oz), 설탕 시럽 15ml (½ oz)","","새콤달콤, 라임, 깔끔한, 클래식","휴양지, 식전, 깔끔한, 더운 날","4","1. 셰이커에 얼음을 가득 채운다. / 2. 화이트 럼 60ml, 라임 주스 25ml, 심플 시럽 15ml를 넣는다. / 3. 15초간 강하게 셰이킹한다. / 4. 차갑게 식힌 쿠페 글라스에 더블 스트레이닝하여 따른다.","MANUAL","0","0","1","1898년 쿠바의 광산 도시 다이키리에서 미국인 광산 기사 제닝스 콕스(Jennings Cox)가 만들었다는 설이 정설.
럼, 라임, 설탕이라는 단순한 조합으로 완벽한 균형을 이루는 칵테일의 기본 중 하나.
어니스트 헤밍웨이가 사랑한 칵테일로 유명하며, 그의 이름을 딴 '헤밍웨이 스페셜' 등 수많은 변형이 존재.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Daiquiri.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.47","2026-01-12 17:55:00.47","rum","23","2","3","4","0","3","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","4","5","2","0","up","","verified","existing",""
"7","가리발디","Garibaldi","약함","7","9","라이트","리큐르","","하이볼","여름","캄파리 45ml (1½ oz), 오렌지 주스(신선) 120ml (4 oz)","","오렌지, 쌉싸름, 상큼, 부드러운 거품","식전, 브런치, 가벼운, 이탈리아","4","1. 셰이커에 얼음을 가득 채운다. / 2. 캄파리 45ml (1½ oz), 오렌지 주스(신선) 120ml (4 oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 하이볼 잔에 얼음을 잔 끝까지 넣는다. 그 위에 걸러 따른다.","AUTO","0","0","0","이탈리아 통일의 영웅 주세페 가리발디의 이름에서 유래한 칵테일. 
북부 이탈리아의 캄파리(붉은 셔츠)와 남부 시칠리아의 오렌지(오렌지 원정)의 만남을 상징.
간단한 재료로 이탈리아의 맛을 느낄 수 있는 대표적인 아페리티보(식전주).","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Garibaldi.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.471196","2026-01-12 17:55:00.471196","liqueur","8","1","3","1","3","1","2","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","3","2","2","0","long","","verified","existing",""
"8","진 피즈","Gin Fizz","보통","12","15","스탠다드","진","","하이볼","봄","진 45ml (1½ oz), 레몬 주스 30ml (1 oz), 설탕시럽 10ml (⅓ oz), 탄산수 약간, 레몬 슬라이스, 레몬 제스트","","상큼, 탄산, 시트러스, 청량감","상쾌한, 가벼운, 오후, 더운 날","4","1. 셰이커에 진 45ml, 레몬 주스 25ml, 심플 시럽 15ml를 넣는다. / 2. 얼음을 넣고 15초 셰이킹한다. / 3. 얼음을 넣은 하이볼 글라스에 스트레이닝한다. / 4. 탄산수로 채운다.","MANUAL","0","0","0","진 피즈는 19세기 중반 미국에서 만들어진 칵테일.
1876년 Jerry Thomas의 조주서에 실리면서 클래식 칵테일로 자리매김.
이후 뉴올리언스의 헨리 램지(Henry C. Ramos)가 “라마스 진 피즈”로 더 유명하게 만들며 변주가 확산됨.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Gin_Fizz.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.472561","2026-01-12 17:55:00.472561","gin","13","1","3","4","0","0","2","3","4","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","4","4","2","0","long","egg","verified","existing",""
"9","존 콜린스","John Collins","보통","12","14","스탠다드","진","","콜린스","여름","진 45ml (1½ oz), 레몬 주스 30ml (1 oz), 설탕 시럽 15ml (½ oz), 탄산수 60ml (2 oz), 레몬 웨지","","상큼, 레몬, 청량, 시트러스","야외파티, 캐주얼 모임, 여름 저녁, 데이타임, 리프레시","4","1. 콜린스 잔에 얼음을 잔 끝까지 넣는다. / 2. 진 45ml (1½ oz), 레몬 주스 30ml (1 oz), 설탕 시럽 15ml (½ oz)를 붓는다. / 3. 탄산수 60ml (2 oz)를 잔 벽을 따라 천천히 채운다. / 4. 레몬 웨지로 장식한다.","AUTO","0","0","0","19세기 런던 리머스 호텔(Limmer’s Hotel) 바의 수석 웨이터 존 콜린스(John Collins) 가 처음 선보였다고 전해짐.
당시 인기 있던 진 펀치(Gin Punch) 가 단순화·개량되면서 만들어졌으며, 초기에는 네덜란드산 제네바 진(Genever Gin) 사용.
이후 올드 톰 진으로 만들면 ‘톰 콜린스(Tom Collins)’, 버번으로 만들면 ‘버번 콜린스’ 등 변주가 생겼고, 오늘날까지 이어짐.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_John_Collins.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_collins.webp","2026-01-12 17:55:00.4738","2026-01-12 17:55:00.4738","gin","13","1","3","3","0","0","2","4","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","5","4","2","0","long","","verified","existing",""
"10","키르","Kir","약함","9","11","라이트","와인","","와인 글라스","봄","드라이 화이트 와인 90ml (3 oz), 크렘 드 카시스 15ml (½ oz)","","베리, 상큼, 은은한 단맛, 와인","식전, 가벼운, 우아한, 프랑스","3","1. 믹싱 글라스에 얼음을 채우고 드라이 화이트 와인 90ml (3 oz), 크렘 드 카시스 15ml (½ oz)를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 미리 차갑게 식힌 와인 글라스에 걸러 따른다.","AUTO","1","1","0","제2차 세계대전 이후 프랑스 부르고뉴 지방 디종의 시장 펠릭스 키르(Félix Kir)가 대중화시킨 칵테일.
그는 지역 특산물인 화이트 와인과 크렘 드 카시스를 홍보하기 위해 공식 리셉션에서 이 칵테일을 제공함.
화이트 와인 대신 샴페인을 사용하면 '키르 로열(Kir Royal)'이라는 변형 칵테일이 됨.","http://onz-cocktail.kr/uploads/cocktails/onz_cocktail_Kir.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_wine_glass.webp","2026-01-12 17:55:00.475126","2026-01-12 17:55:00.475126","wine|liqueur","10","1","3","2","0","1","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","4","3","2","0","up","","verified","existing",""
